longitude_deg,latitude_deg,name
-0.005456000100821257,16.24839973449707,Gao Airport
-0.006438999902456999,43.1786994934082,Tarbes-Lourdes-Pyrénées Airport
-0.107832998037,52.3572006226,RAF Wyton
-0.11514200270175934,47.25680160522461,Saumur-Saint-Florent Airport
-0.13472199440002441,44.98249816894531,Libourne-Artigues-de-Lussac Airport
-0.166014000773,53.0929985046,RAF Coningsby
-0.16678600013256073,5.605189800262451,Kotoka International Airport
-0.18641400337219238,27.837600708007812,Touat Cheikh Sidi Mohamed Belkebir Airport
-0.19027799367904663,51.148101806640625,London Gatwick Airport
-0.242353007197,33.535900116,Mecheria Airport
-0.29722198843955994,50.835601806640625,Shoreham Airport
-0.3122220039367676,47.560298919677734,Angers-Loire Airport
-0.3174999952316284,45.65829849243164,Cognac-Châteaubernard (BA 709) Air Base
-0.350832998752594,53.57440185546875,Humberside Airport
-0.36833301186561584,51.874698638916016,London Luton Airport
-0.4015029966831207,46.31129837036133,Niort-Souché Airport
-0.418166995049,51.553001403799996,RAF Northolt
-0.41861099004745483,43.380001068115234,Pau Pyrénées Airport
-0.44999998807907104,49.173301696777344,Caen-Carpiquet Airport
-0.461941,51.4706,London Heathrow Airport
-0.476453006268,52.6125984192,RAF Wittering
-0.4816249907016754,39.48929977416992,Valencia Airport
-0.48324200511,53.0303001404,RAF Cranwell
-0.5074999928474426,43.91170120239258,Mont-de-Marsan (BA 118) Air Base
-0.523810982704,53.1661987305,RAF Waddington
-0.5322780013084412,35.54240036010742,Tafaraoui Airport
-0.550832986832,53.307800293,RAF Scampton
-0.5581560134887695,38.28219985961914,Alicante International Airport
-0.561625003815,52.962200164799995,RAF Barkston Heath
-0.616666972637,52.0722007751,Cranfield Airport
-0.6211829781529999,35.6239013672,Es Senia Airport
-0.648769021034,52.7356987,RAF Cottesmore
-0.715556025505,44.828300476100004,Bordeaux-Mérignac Airport
-0.7429860234260559,48.03139877319336,Laval-Entrammes Airport
-0.75,60.4252,Outer Skerries Airport
-0.776332974434,51.2757987976,Farnborough Airport
-0.8123890161514282,37.775001525878906,San Javier Airport
-0.8475000262260437,51.32389831542969,Blackbushe Airport
-0.8632140159606934,9.55718994140625,Tamale Airport
-0.8770639896392822,47.08209991455078,Cholet Le Pontreau Airport
-0.94282501936,51.2341003418,RAF Odiham
-0.9725000262260437,45.62810134887695,Royan-Médis Airport
-0.9830560088157654,45.88779830932617,Rochefort-Saint-Agnant (BA 721) Airport
-1.01065635681,53.4805378105,Robin Hood Doncaster Sheffield Airport
-1.0334999561309814,51.187198638916016,Lasham Airport
-1.0415500402450562,41.66619873046875,Zaragoza Air Base
-1.0791699886322021,52.91999816894531,Nottingham Airport
-1.09582996368,51.616401672399995,RAF Benson
-1.1108299493789673,44.59640121459961,Arcachon-La Teste-de-Buch Airport
-1.125,37.803,Región de Murcia International Airport
-1.125,44.53329849243164,Cazaux (BA 120) Air Base
-1.1952799558639526,46.17919921875,La Rochelle-Île de Ré Airport
-1.1955,53.834301,Leeds East Airport
-1.2183,40.403,Teruel Airport
-1.2303199768066406,37.95109939575195,Alcantarilla Airport
-1.2527500391,54.0489006042,RAF Linton-On-Ouse
-1.2955600023269653,59.87889862060547,Sumburgh Airport
-1.2961100339889526,60.43280029296875,Scatsta Airport
-1.32000005245,51.8368988037,Oxford (Kidlington) Airport
-1.32806003094,52.8311004639,East Midlands Airport
-1.3567999601364136,50.95029830932617,Southampton Airport
-1.3786300420761108,46.701900482177734,La Roche-sur-Yon Airport
-1.3820899725,54.205501556399994,RAF Topcliffe
-1.42025005817,54.1371994019,RAF Dishforth
-1.4294099807739258,54.50920104980469,Durham Tees Valley Airport
-1.45000004768,35.0167007446,Zenata – Messali El Hadj Airport
-1.4702800512313843,49.65010070800781,Cherbourg-Maupertus Airport
-1.4797199964499999,52.3697013855,Coventry Airport
-1.5124200582504272,12.35319995880127,Ouagadougou Airport
-1.523319959640503,43.46839904785156,Biarritz-Anglet-Bayonne Airport
-1.5354,54.2924,Leeming Airport
-1.564170002937317,48.88309860229492,Granville Airport
-1.58362,51.75,RAF Brize Norton
-1.5908199548721313,6.714560031890869,Kumasi Airport
-1.61073005199,47.153198242200006,Nantes Atlantique Airport
-1.628059983253479,59.53580093383789,Fair Isle Airport
-1.6463299989700317,42.77000045776367,Pamplona Airport
-1.6605700254440308,53.86589813232422,Leeds Bradford Airport
-1.6916699409484863,55.037498474121094,Newcastle Airport
-1.73478996754,48.069499969499994,Rennes-Saint-Jacques Airport
-1.7474100589752197,51.152198791503906,MoD Boscombe Down Airport
-1.74802994728,52.453899383499994,Birmingham International Airport
-1.7747600078582764,4.896059989929199,Takoradi Airport
-1.7900300025900002,51.6822013855,RAF Fairford
-1.7906099557876587,43.35649871826172,San Sebastian Airport
-1.8424999713897705,50.779998779296875,Bournemouth Airport
-1.8635200262099998,38.9485015869,Albacete-Los Llanos Airport
-1.92399001121521,34.787200927734375,Angads Airport
-1.98305555556,32.5143055556,Bouarfa Airport
-1.9934300184249878,51.50510025024414,RAF Lyneham
-10.362299919128418,6.233789920806885,Roberts International Airport
-10.758700370788574,6.289060115814209,Spriggs Payne Airport
-100.052001953125,51.100799560546875,Dauphin Barker Airport
-100.107002258,25.7784996033,General Mariano Escobedo International Airport
-100.185997009,20.6173000336,Querétaro Intercontinental Airport
-100.23699951171875,25.8656005859375,Del Norte International Airport
-100.2860031,44.38270187,Pierre Regional Airport
-100.288002014,34.4337997437,Childress Municipal Airport
-100.4079971,45.54650116,Mobridge Municipal Airport
